timestamp,fav_number,sibling_number,wake_up_time,fav_season,pets,dominant_hand,birth_month,height,risk_pref,study_sound,which_activities_do_you_enjoy_doing_most_in_your_free_time
6/13/2026 13:00:20,8,1,8 am,Summer,Pets,Right,July,73,A 50% chance to win $24,"Ambient noise  (background sound, white noise)","Exercising/Sports, Socializing with friends/family, Watching TV/Movies, Learning a new skill"
6/15/2026 10:18:35,8,1,7 am,Summer,No Pets,Right,May,66,A sure $10,Music with lyrics,"Exercising/Sports, Socializing with friends/family, Watching TV/Movies, Learning a new skill"
6/15/2026 11:45:39,9,1,11 am,Summer,Pets,Right,January,66,A sure $10,No music,"Exercising/Sports, Gaming (Video/Board), Socializing with friends/family, Watching TV/Movies"
6/15/2026 11:47:33,8,1,7 am,Fall,Pets,Right,November,61,A 50% chance to win $24,"Ambient noise  (background sound, white noise)","Reading/Writing, Exercising/Sports, Socializing with friends/family, Watching TV/Movies"
6/15/2026 11:58:52,9,1,8 am,Spring,Pets,Right,August,68,A sure $10,Instrumental music,"Reading/Writing, Exercising/Sports, Socializing with friends/family, Watching TV/Movies"
6/15/2026 12:40:36,8,3,10 am,Winter,Pets,Right,January,70,A sure $10,Music with lyrics,"Exercising/Sports, Gaming (Video/Board), Socializing with friends/family, Watching TV/Movies, Learning a new skill"
6/15/2026 14:35:53,7,2,9 am,Fall,No Pets,Right,January,71,A sure $10,"Ambient noise  (background sound, white noise)","Exercising/Sports, Gaming (Video/Board), Socializing with friends/family, Learning a new skill"
6/15/2026 16:50:36,7,0 (No sibling),8 am,Winter,Pets,Right,February,70,A sure $10,Music with lyrics,Watching TV/Movies
6/15/2026 23:48:03,3,1,7 am,Spring,Pets,Right,July,68,A 50% chance to win $24,No music,"Reading/Writing, Exercising/Sports, Socializing with friends/family, Learning a new skill"
6/16/2026 9:07:09,8,9,9 am,Summer,No Pets,Right,August,66,A 50% chance to win $24,No music,Socializing with friends/family
